trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",35,0,-14.425537892475555,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",20,0,-8.46787140731494,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",30,0,-18.109567631464135,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",25,0,-3.4493309849969642,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",25,0,-21.623113701813015,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",25,0,-17.981200918557484,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",25,0,-17.62914621432731,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",20,0,-21.99407942866327,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",30,0,-62.43989487459671,"{0: 26, 1: 0, 2: 0, 3: 4, 4: 0}",0
10,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",30,0,-20.160112112705143,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",20,0,18.45985857407572,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",25,0,-21.488213845163045,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",20,0,-42.44738255781395,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",20,0,20.88137176845639,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",25,0,2.2896343378266995,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",25,0,-41.72711885638598,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",30,0,-20.62709165738694,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",35,0,-2.1097195796744725,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",35,0,-39.16025137751011,"{0: 32, 1: 0, 2: 0, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 9.000000000000001e-07}",20,0,8.761108278756073,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0}",25,0,-36.76815993065188,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0}",20,0,25.842619354328473,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0}",25,0,3.8382489919359486,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0}",30,0,-65.52429350413644,"{0: 26, 1: 0, 2: 0, 3: 4, 4: 0}",0
5,True,"{'a': 0.5, 'e': 0}",20,0,-22.557227708984435,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 0}",25,0,-33.50315344403774,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",25,0,-45.095614530626484,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0}",25,0,14.993203071389736,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 0}",20,0,-21.20125279044755,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0}",25,0,-19.789714312317752,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
